"address","total_borrow","count_borrow","avg_borrow_amount","std_borrow_amount","first_borrow_date","token_borrow_mode","borrow_amount_cv","total_repay","count_repay","avg_repay_amount","std_repay_amount","repay_amount_cv","total_deposit","count_deposit","avg_deposit_amount","std_deposit_amount","deposit_amount_cv","total_redeem","count_redeem","avg_redeem_amount","std_redeem_amount","redeem_amount_cv","total_liquidation","count_liquidation","avg_liquidation_amount","std_liquidation_amount","liquidation_amount_cv","days_since_first_borrow","net_outstanding","int_paid","net_deposits","count_repays_to_count_borrows","avg_repay_to_avg_borrow","net_outstanding_to_total_borrowed","net_outstanding_to_total_repaid","count_redeems_to_count_deposits","total_redeemed_to_total_deposits","avg_redeem_to_avg_deposit","net_deposits_to_total_deposits","net_deposits_to_total_redeemed","avg_liquidation_to_avg_borrow","dex_total_sum_added","dex_total_sum_removed","dex_total_sum_swapped","contrib_total","rank","eth_time_diff_between_first_and_last_days","eth_active_months","eth_max_days_delay_between_trx","eth_avg_days_delay_between_trx","eth_avg_minutes_delay_between_trx","eth_coef_activity","eth_total_number_of_transactions","eth_activity_pct_change_7_days","eth_activity_pct_change_14_days","eth_activity_pct_change_30_days","eth_activity_pct_change_60_days","eth_is_activity_increase","eth_count_of_contract","eth_avg_delay_days_between_contract","eth_coef_activity_contract","eth_total_contract_value","eth_avg_contract_value","eth_max_contract_value","eth_min_contract_value","eth_contract_value_pct_change_7_days","eth_contract_value_pct_change_14_days","eth_contract_value_pct_change_30_days","eth_contract_value_pct_change_60_days","eth_is_contract_value_increase","eth_count_of_receive","eth_count_unique_wallets_receive","eth_avg_delay_days_between_receive","eth_coef_activity_receive","eth_total_receive_value","eth_avg_receive_value","eth_max_receive_value","eth_min_receive_value","eth_receive_value_pct_change_7_days","eth_receive_value_pct_change_14_days","eth_receive_value_pct_change_30_days","eth_receive_value_pct_change_60_days","eth_is_receive_value_increase","eth_count_of_sent","eth_count_unique_wallets_send","eth_avg_days_delay_between_sent","eth_coef_activity_send","eth_total_sent_value","eth_avg_sent_value","eth_max_sent_value","eth_min_sent_value","eth_send_value_pct_change_7_days","eth_send_value_pct_change_14_days","eth_send_value_pct_change_30_days","eth_send_value_pct_change_60_days","eth_is_send_value_increase","activity_60_days","liquidated_60_days"
"0x003afc85020b9278b67aa974d278cce89a373609",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x003c5d4489fb45c9b30af8cc2374ca9664c4d1fc",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x003e573eda70d3357c55a403e446d6d9a6d84387",351.22053419536144,4,87.80513354884036,175.07715338087547,2022-12-27,USDC,1.993928444781549,0.0,0,0.0,0.0,0.0,504.4999777833994,6,84.08332963056657,204.32196583600575,2.4299937542165218,1.0038250751636453,1,1.0038250751636453,0.0,0.0,0.0,0,0.0,0.0,0.0,27,351.22053419536144,0.0,503.49615270823574,0.0,0.0,1.0,351.22053419536144,0.16666666666666666,0.001989742555736295,0.011938455334417772,0.9980102574442636,501.5775807614239,0.0,0.0,0.0,0.0,0.0,0.0,66.0,3.0,21.0,1.0,1392.0,39.77142857142857,35.0,-5.9,-5.9,-0.4,-6.6,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,2.0,2.0,48.0,24.0,0.29723120000000003,0.14861560000000001,0.215,0.0822312,1.6,1.6,1.6,-1.0,true,33.0,22.0,2.0,0.06060606060606061,0.9817004197370586,0.029748497567789654,0.175,0.0,1.9,1.9,1.5,16.5,true,true,0
"0x003e777a50065afbd6c27d7f22bb02b58852d56b",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x004f8d7819a28bb11b1cc78bcefe2b3233cc7a9d",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x003e951f051e481f9ef7185afe53cb2084607438",1.221036621290939,2,0.6105183106454695,0.1981944832245815,2022-09-10,USDC,0.3246331514857281,0.7519241729999999,1,0.7519241729999999,0.0,0.0,110.93248192640733,4,27.733120481601834,53.66462069864439,1.9350372322597282,108.24824110099999,1,108.24824110099999,0.0,0.0,0.0,0,0.0,0.0,0.0,135,0.469112448290939,0.0,2.6842408254073433,0.5,1.2316160873291897,0.38419195633540515,0.6238826535118442,0.25,0.9758029318483286,3.9032117273933142,0.024197068151671483,0.02479708490508255,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.0,88.0,6.0,1009.0,36.035714285714285,28.0,-7.6,-7.6,-7.6,-7.6,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,4.0,1.0,29.0,7.25,0.2989,0.074725,0.1495,0.0099,-0.3,-0.7,-0.7,-0.7,false,24.0,19.0,7.0,0.2916666666666667,0.3663114680744808,0.0152629778364367,0.1345,0.0,1.9,1.9,1.9,1.9,true,true,0
"0x003fd0183f67f4d9ab6a7a202eec31c8195f337c",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x00401d579ded334001106df49e2042dd53c3bed2",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
"0x00409fc839a2ec2e6d12305423d37cd011279c09",63.4189832229801,33,1.9217873703933364,3.313932435628452,2022-07-21,DAI,1.724401193744021,49.135883376236976,24,2.047328474009874,3.866095392515919,1.8883610722923367,348.88582140484885,71,4.913884808518998,9.63800924947591,1.9613828213406417,175.27022477374354,25,7.010808990949742,12.071144643992705,1.7217905465083065,9.561067107736907,1,9.561067107736907,0.0,0.0,186,14.283099846743127,0.0,173.61559663110532,0.7272727272727273,1.0653251788156162,0.22521805177046095,0.29068572426746475,0.352112676056338,0.5023713032188806,1.4267345011416208,0.49762869678111943,0.9905595594187536,4.975091029857285,0.0,0.0,0.0,0.0,0.0,408.0,15.0,41.0,0.0,728.0,0.899876390605686,809.0,0.8,0.1,0.2,0.0,true,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,false,30.0,9.0,11.0,0.36666666666666664,7.182468950000004,0.2394156316666668,1.2345,0.0,-0.6,-0.6,-0.8,-0.9,false,780.0,214.0,0.0,0.0,23.87007518494862,0.030602660493523875,3.64,0.0,-1.0,-1.0,-0.9,-0.9,false,true,0
"0x0040ca775bb9118621becdd96ac0be3e3fa59c93",0.0,0,0.0,0.0,2023-03-24,"0",0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,false,,,,,,,,,,,,false,,,,,,,,,,,,,false,,,,,,,,,,,,,false,true,0
